RegNumber,RegTitle,SectionNumber,SectionDetail,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 1,พระราชบัญญัตินี้เรียกว่า “พระราชบัญญัติความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน พ.ศ. ๒๕๕๔”,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 2,พระราชบัญญัตินี้ให้ใช้บังคับเมื่อพ้นกําหนดหนึ่งร้อยแปดสิบวันนับแต่วันประกาศ  ในราชกิจจานุเบกษาเป็นต้นไป,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 3,พระราชบัญญัตินี้มิให้ใช้บังคับแก่ (๑) ราชการส่วนกลาง ราชการส่วนภูมิภาค และราชการส่วนท้องถิ่น (๒) กิจการอื่นทั้งหมดหรือแต่บางส่วนตามที่กําหนดในกฎกระทรวง ให้ราชการส่วนกลาง ราชการส่วนภูมิภาค ราชการส่วนท้องถิ่น และกิจการอื่นตามที่กําหนดในกฎกระทรวงตามวรรคหนึ่ง จัดให้มีมาตรฐานในการบริหารและการจัดการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานในหน่วยงานของตนไม่ต่ํากว่ามาตรฐานความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางานตามพระราชบัญญัตินี้,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 4,ในพระราชบัญญัตินี้ “ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน” หมายความว่า การกระทํา “นายจ้าง” หมายความว่า นายจ้างตามกฎหมายว่าด้วยการคุ้มครองแรงงานและให้หมายความรวมถึง ผู้ประกอบกิจการซึ่งยอมให้บุคคลหนึ่งบุคคลใดมาทํางานหรือทําผลประโยชน์ให้แก่หรือในสถานประกอบกิจการ ไม่ว่าการทํางานหรือการทําผลประโยชน์นั้นจะเป็นส่วนหนึ่งส่วนใดหรือทั้งหมดในกระบวนการผลิตหรือธุรกิจในความรับผิดชอบของผู้ประกอบกิจการนั้นหรือไม่ก็ตาม“ลูกจ้าง” หมายความว่า ลูกจ้างตามกฎหมายว่าด้วยการคุ้มครองแรงงานและให้หมายความรวมถึงผู้ซึ่งได้รับความยินยอมให้ทํางานหรือทําผลประโยชน์ให้แก่หรือในสถานประกอบกิจการของนายจ้างไม่ว่าจะเรียกชื่ออย่างไรก็ตาม“ผู้บริหาร” หมายความว่า ลูกจ้างตั้งแต่ระดับผู้จัดการในหน่วยงานขึ้นไป“หัวหน้างาน” หมายความว่า ลูกจ้างซึ่งทําหน้าที่ควบคุม ดูแล บังคับบัญชาหรือสั่งให้ลูกจ้างทํางานตามหน้าที่ของหน่วยงาน“เจ้าหน้าที่ความปลอดภัยในการทํางาน” หมายความว่า ลูกจ้างซึ่งนายจ้างแต่งตั้งให้ปฏิบัติหน้าที่ด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานตามพระราชบัญญัตินี้“สถานประกอบกิจการ” หมายความว่า หน่วยงานแต่ละแห่งของนายจ้างที่มีลูกจ้างทํางานอยู่ในหน่วยงาน“คณะกรรมการ” หมายความว่า คณะกรรมการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางาน หรือสภาพการทํางานซึ่งปลอดจากเหตุอันจะทําให้เกิดการประสบอันตรายต่อชีวิต ร่างกาย จิตใจหรือสุขภาพอนามัยอันเนื่องจากการทํางานหรือเกี่ยวกับการทางาน “กองทุน” หมายความว่า กองทุนความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางาน“พนักงานตรวจความปลอดภัย” หมายความว่า ผู้ซึ่งรัฐมนตรีแต่งตั้งให้ปฏิบัติการตามพระราชบัญญัตินี้“อธิบดี” หมายความว่า อธิบดีกรมสวัสดิการและคุ้มครองแรงงาน“รัฐมนตรี” หมายความว่า รัฐมนตรีผู้รักษาการตามพระราชบัญญัตินี้,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 5,"ให้รัฐมนตรีว่าการกระทรวงแรงงานรักษาการตามพระราชบัญญัตินี้ และให้มีอํานาจแต่งตั้งพนักงานตรวจความปลอดภัยกับออกกฎกระทรวง ประกาศ และระเบียบเพื่อปฏิบัติการตามพระราชบัญญัตินี้ รวมทั้งออกกฎกระทรวงกําหนดค่าธรรมเนียมไม่เกินอัตราท้ายพระราชบัญญัตินี้ และยกเว้นค่าธรรมเนียม การแต่งตั้งพนักงานตรวจความปลอดภัยต้องกําหนดคุณสมบัติ ขอบเขต อํานาจหน้าที่และเงื่อนไขในการปฏิบัติหน้าที่ด้วยกฎกระทรวง ประกาศ และระเบียบนั้น เมื่อได้ประกาศในราชกิจจานุเบกษาแล้วให้ใช้บังคับได้",
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 6,"ให้นายจ้างมีหน้าที่จัดและดูแลสถานประกอบกิจการและลูกจ้างให้มีสภาพ การทํางานและสภาพแวดล้อมในการทํางานที่ปลอดภัยและถูกสุขลักษณะ รวมทั้งส่งเสริมสนับสนุนการปฏิบัติงานของลูกจ้างมิให้ลูกจ้างได้รับอันตรายต่อชีวิต ร่างกาย จิตใจ และสุขภาพอนามัยให้ลูกจ้างมีหน้าที่ให้ความร่วมมือกับนายจ้างในการดําเนินการและส่งเสริมด้านความปลอดภัยอาชีวอนามัย และสภาพแวดล้อมในการทํางาน เพื่อให้เกิดความปลอดภัยแก่ลูกจ้างและสถานประกอบกิจการ,หมวด ๑ บททั่วไป",
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 7,ในกรณีที่พระราชบัญญัตินี้กําหนดให้นายจ้างต้องดําเนินการอย่างหนึ่งอย่างใด ที่ต้องเสียค่าใช้จ่าย ให้นายจ้างเป็นผู้ออกค่าใชจ้่ายเพื่อการนั้น,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 8,"ให้นายจ้างบริหาร จัดการ และดําเนินการด้านความปลอดภัย อาชีวอนามัย  และสภาพแวดล้อมในการทํางาน ให้เป็นไปตามมาตรฐานที่กําหนดในกฎกระทรวงการกําหนดมาตรฐานตามวรรคหนึ่ง ให้นายจ้างจัดทําเอกสารหรือรายงานใด โดยมีการตรวจสอบหรือรับรองโดยบุคคล หรือนิติบุคคลตามที่กําหนดในกฎกระทรวงให้ลูกจ้างมีหน้าที่ปฏิบัติตามหลักเกณฑ์ด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทํางานตามมาตรฐานที่กําหนดในวรรคหนึ่ง,หมวด ๒ การบริหาร การจัดการ และการดําเนินการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทํางาน",
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 9,บุคคลใดประสงค์จะให้บริการในการตรวจวัด ตรวจสอบ ทดสอบ รับรอง ประเมินความเสี่ยง รวมทั้งจัดฝึกอบรมหรือให้คําปรึกษาเพื่อส่งเสริมความปลอดภัยอาชีวอนามัยและสภาพแวดล้อมในการทํางานตามมาตรฐานที่กําหนดในกฎกระทรวงที่ออกตามมาตรา ๘ จะต้องขึ้นทะเบียนต่อสํานักความปลอดภัยแรงงาน กรมสวัสดิการและคุ้มครองแรงงานคุณสมบัติของผู้ขอขึ้นทะเบียน การขึ้นทะเบียน การออกใบแทนการขึ้นทะเบียน การเพิกถอนทะเบียน การกําหนดค่าบริการ และวิธีการให้บริการตามวรรคหนึ่ง ให้เป็นไปตามหลักเกณฑ์ วิธีการและเงื่อนไขที่กําหนดในกฎกระทรวง,
36,พ.ร.บ.ความปลอดภัย พ.ศ.2554,มาตรา 10,ในกรณีที่สํานักความปลอดภัยแรงงาน กรมสวัสดิการและคุ้มครองแรงงานไม่รับ ขึ้นทะเบียนหรือเพิกถอนทะเบียนตามมาตรา ๙ ผู้ขอขึ้นทะเบียนหรอผู้ถูกเพิกถอนทะเบียนมีสิทธิอุทธรณ์เป็นหนังสือต่ออธิบดีภายในสามสิบวันนับแต่วันได้รับแจ้งการไม่รับขึ้นทะเบียนหรือการเพิกถอนทะเบียนคําวินิจฉัยของอธิบดีให้เป็นที่สุด,
